main.py --seed 7 --gamma 0.90

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, gamma=0.9, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 1200000 | F 1200000 | G 80000 | D 189 | EPS 0.001 | L 42813.743 | R 704.000 | Avg L 0.036 | Avg R 0.704
U 1210000 | F 1210000 | G 80666 | D 190 | EPS 0.001 | L 43149.715 | R 741.000 | Avg L 0.036 | Avg R 0.741
U 1220000 | F 1220000 | G 81333 | D 192 | EPS 0.001 | L 43477.967 | R 724.000 | Avg L 0.036 | Avg R 0.724
U 1230000 | F 1230000 | G 82000 | D 193 | EPS 0.001 | L 43772.297 | R 692.000 | Avg L 0.036 | Avg R 0.692
U 1240000 | F 1240000 | G 82666 | D 195 | EPS 0.001 | L 44091.512 | R 710.000 | Avg L 0.036 | Avg R 0.710
U 1250000 | F 1250000 | G 83333 | D 196 | EPS 0.001 | L 44416.374 | R 734.000 | Avg L 0.036 | Avg R 0.734
U 1260000 | F 1260000 | G 84000 | D 198 | EPS 0.001 | L 44725.986 | R 726.000 | Avg L 0.035 | Avg R 0.726
U 1270000 | F 1270000 | G 84666 | D 199 | EPS 0.001 | L 45019.970 | R 690.000 | Avg L 0.035 | Avg R 0.690
U 1280000 | F 1280000 | G 85333 | D 201 | EPS 0.001 | L 45347.829 | R 715.000 | Avg L 0.035 | Avg R 0.715
U 1290000 | F 1290000 | G 86000 | D 203 | EPS 0.001 | L 45638.235 | R 695.000 | Avg L 0.035 | Avg R 0.695
U 1300000 | F 1300000 | G 86666 | D 204 | EPS 0.001 | L 45924.551 | R 692.000 | Avg L 0.035 | Avg R 0.692
U 1310000 | F 1310000 | G 87333 | D 206 | EPS 0.001 | L 46216.357 | R 696.000 | Avg L 0.035 | Avg R 0.696
U 1320000 | F 1320000 | G 88000 | D 207 | EPS 0.001 | L 46484.919 | R 683.000 | Avg L 0.035 | Avg R 0.683
U 1330000 | F 1330000 | G 88666 | D 209 | EPS 0.001 | L 46750.399 | R 658.000 | Avg L 0.035 | Avg R 0.658
U 1340000 | F 1340000 | G 89333 | D 210 | EPS 0.001 | L 47043.646 | R 684.000 | Avg L 0.035 | Avg R 0.684
U 1350000 | F 1350000 | G 90000 | D 212 | EPS 0.001 | L 47317.450 | R 699.000 | Avg L 0.035 | Avg R 0.699
U 1360000 | F 1360000 | G 90666 | D 213 | EPS 0.001 | L 47591.585 | R 701.000 | Avg L 0.035 | Avg R 0.701
U 1370000 | F 1370000 | G 91333 | D 215 | EPS 0.001 | L 47882.177 | R 704.000 | Avg L 0.035 | Avg R 0.704
U 1380000 | F 1380000 | G 92000 | D 216 | EPS 0.001 | L 48179.381 | R 707.000 | Avg L 0.035 | Avg R 0.707
U 1390000 | F 1390000 | G 92666 | D 218 | EPS 0.001 | L 48448.171 | R 695.000 | Avg L 0.035 | Avg R 0.695
U 1400000 | F 1400000 | G 93333 | D 219 | EPS 0.001 | L 48736.591 | R 700.000 | Avg L 0.035 | Avg R 0.700
U 1410000 | F 1410000 | G 94000 | D 221 | EPS 0.001 | L 49035.252 | R 727.000 | Avg L 0.035 | Avg R 0.727
U 1420000 | F 1420000 | G 94666 | D 222 | EPS 0.001 | L 49314.218 | R 714.000 | Avg L 0.035 | Avg R 0.714
U 1430000 | F 1430000 | G 95333 | D 224 | EPS 0.001 | L 49595.504 | R 694.000 | Avg L 0.035 | Avg R 0.694
U 1440000 | F 1440000 | G 96000 | D 226 | EPS 0.001 | L 49882.270 | R 729.000 | Avg L 0.035 | Avg R 0.729
U 1450000 | F 1450000 | G 96666 | D 227 | EPS 0.001 | L 50154.438 | R 700.000 | Avg L 0.035 | Avg R 0.700
U 1460000 | F 1460000 | G 97333 | D 229 | EPS 0.001 | L 50428.501 | R 704.000 | Avg L 0.035 | Avg R 0.704
U 1470000 | F 1470000 | G 98000 | D 231 | EPS 0.001 | L 50695.948 | R 698.000 | Avg L 0.034 | Avg R 0.698
U 1480000 | F 1480000 | G 98666 | D 233 | EPS 0.001 | L 50961.307 | R 698.000 | Avg L 0.034 | Avg R 0.698
U 1490000 | F 1490000 | G 99333 | D 234 | EPS 0.001 | L 51233.207 | R 700.000 | Avg L 0.034 | Avg R 0.700
U 1500000 | F 1500000 | G 100000 | D 236 | EPS 0.001 | L 51505.514 | R 709.000 | Avg L 0.034 | Avg R 0.709
