update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
44,44,14,0,0.9713333333333334,0.1,-9.0130031,5,-0.6437859357142858,0.35714285714285715,-9.0130031,5,-0.643785935714,0.357142857143
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
45,45,14,0,0.9706666666666667,0.1,-9.0130031,5,-0.6437859357142858,0.35714285714285715,-9.0130031,5,-0.643785935714,0.357142857143
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
45,45,15,0,0.97,0.1,-9.0130031,6,-0.6008668733333333,0.4,-9.0130031,6,-0.600866873333,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
46,46,15,0,0.97,0.1,-9.0130031,6,-0.6008668733333333,0.4,-9.0130031,6,-0.600866873333,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
47,47,15,0,0.9693333333333334,0.1,-9.0130031,6,-0.6008668733333333,0.4,-9.0130031,6,-0.600866873333,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
48,48,15,0,0.9686666666666667,0.1,-9.0130031,6,-0.6008668733333333,0.4,-9.0130031,6,-0.600866873333,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
48,48,16,0,0.968,0.1,-10.013003099999999,6,-0.6258126937499999,0.375,-10.0130031,6,-0.62581269375,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
49,49,16,0,0.968,0.1,-10.013003099999999,6,-0.6258126937499999,0.375,-10.0130031,6,-0.62581269375,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
50,50,16,0,0.9673333333333334,0.1,-10.013003099999999,6,-0.6258126937499999,0.375,-10.0130031,6,-0.62581269375,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
51,51,16,0,0.9666666666666667,0.1,-10.013003099999999,6,-0.6258126937499999,0.375,-10.0130031,6,-0.62581269375,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
51,51,17,0,0.966,0.1,-10.013003099999999,7,-0.5890001823529412,0.4117647058823529,-10.0130031,7,-0.589000182353,0.411764705882
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
52,52,17,0,0.966,0.1,-10.013003099999999,7,-0.5890001823529412,0.4117647058823529,-10.0130031,7,-0.589000182353,0.411764705882
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
53,53,17,0,0.9653333333333334,0.1,-10.013003099999999,7,-0.5890001823529412,0.4117647058823529,-10.0130031,7,-0.589000182353,0.411764705882
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
