main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=6000, eps_start=1.0, frames=45000, games=500, gamma=1.0, log_interval=1, lr=0, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 1.000 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 113 | F 113 | G 37 | D 0 | EPS 0.981 | L -20.000 | R 17.000 | Avg L -0.541 | Avg R 0.459
U 114 | F 114 | G 37 | D 0 | EPS 0.981 | L -20.000 | R 17.000 | Avg L -0.541 | Avg R 0.459
U 114 | F 114 | G 38 | D 0 | EPS 0.981 | L -20.000 | R 18.000 | Avg L -0.526 | Avg R 0.474
U 115 | F 115 | G 38 | D 0 | EPS 0.981 | L -20.000 | R 18.000 | Avg L -0.526 | Avg R 0.474
U 116 | F 116 | G 38 | D 0 | EPS 0.981 | L -20.000 | R 18.000 | Avg L -0.526 | Avg R 0.474
U 117 | F 117 | G 38 | D 0 | EPS 0.981 | L -20.000 | R 18.000 | Avg L -0.526 | Avg R 0.474
U 117 | F 117 | G 39 | D 0 | EPS 0.981 | L -21.000 | R 18.000 | Avg L -0.538 | Avg R 0.462
U 118 | F 118 | G 39 | D 0 | EPS 0.981 | L -21.000 | R 18.000 | Avg L -0.538 | Avg R 0.462
U 119 | F 119 | G 39 | D 0 | EPS 0.980 | L -21.000 | R 18.000 | Avg L -0.538 | Avg R 0.462
U 120 | F 120 | G 39 | D 0 | EPS 0.980 | L -21.000 | R 18.000 | Avg L -0.538 | Avg R 0.462
U 120 | F 120 | G 40 | D 0 | EPS 0.980 | L -21.000 | R 19.000 | Avg L -0.525 | Avg R 0.475
U 121 | F 121 | G 40 | D 0 | EPS 0.980 | L -21.000 | R 19.000 | Avg L -0.525 | Avg R 0.475
U 122 | F 122 | G 40 | D 0 | EPS 0.980 | L -21.000 | R 19.000 | Avg L -0.525 | Avg R 0.475
U 123 | F 123 | G 40 | D 0 | EPS 0.980 | L -21.000 | R 19.000 | Avg L -0.525 | Avg R 0.475
U 123 | F 123 | G 41 | D 0 | EPS 0.980 | L -22.000 | R 19.000 | Avg L -0.537 | Avg R 0.463
U 124 | F 124 | G 41 | D 0 | EPS 0.980 | L -22.000 | R 19.000 | Avg L -0.537 | Avg R 0.463
U 125 | F 125 | G 41 | D 0 | EPS 0.979 | L -22.000 | R 19.000 | Avg L -0.537 | Avg R 0.463
U 126 | F 126 | G 41 | D 0 | EPS 0.979 | L -22.000 | R 19.000 | Avg L -0.537 | Avg R 0.463
U 126 | F 126 | G 42 | D 0 | EPS 0.979 | L -22.000 | R 20.000 | Avg L -0.524 | Avg R 0.476
U 127 | F 127 | G 42 | D 0 | EPS 0.979 | L -22.000 | R 20.000 | Avg L -0.524 | Avg R 0.476
U 128 | F 128 | G 42 | D 0 | EPS 0.979 | L -22.000 | R 20.000 | Avg L -0.524 | Avg R 0.476
U 129 | F 129 | G 42 | D 0 | EPS 0.979 | L -22.000 | R 20.000 | Avg L -0.524 | Avg R 0.476
U 129 | F 129 | G 43 | D 0 | EPS 0.979 | L -23.000 | R 20.000 | Avg L -0.535 | Avg R 0.465
U 130 | F 130 | G 43 | D 0 | EPS 0.979 | L -23.000 | R 20.000 | Avg L -0.535 | Avg R 0.465
U 131 | F 131 | G 43 | D 0 | EPS 0.978 | L -23.000 | R 20.000 | Avg L -0.535 | Avg R 0.465
U 132 | F 132 | G 43 | D 0 | EPS 0.978 | L -23.000 | R 20.000 | Avg L -0.535 | Avg R 0.465
U 132 | F 132 | G 44 | D 0 | EPS 0.978 | L -24.000 | R 20.000 | Avg L -0.545 | Avg R 0.455
U 133 | F 133 | G 44 | D 0 | EPS 0.978 | L -24.000 | R 20.000 | Avg L -0.545 | Avg R 0.455
U 134 | F 134 | G 44 | D 0 | EPS 0.978 | L -24.000 | R 20.000 | Avg L -0.545 | Avg R 0.455
U 135 | F 135 | G 44 | D 0 | EPS 0.978 | L -24.000 | R 20.000 | Avg L -0.545 | Avg R 0.455
U 135 | F 135 | G 45 | D 0 | EPS 0.978 | L -25.000 | R 20.000 | Avg L -0.556 | Avg R 0.444
U 136 | F 136 | G 45 | D 0 | EPS 0.978 | L -25.000 | R 20.000 | Avg L -0.556 | Avg R 0.444
U 137 | F 137 | G 45 | D 0 | EPS 0.977 | L -25.000 | R 20.000 | Avg L -0.556 | Avg R 0.444
U 138 | F 138 | G 45 | D 0 | EPS 0.977 | L -25.000 | R 20.000 | Avg L -0.556 | Avg R 0.444
U 138 | F 138 | G 46 | D 0 | EPS 0.977 | L -25.000 | R 21.000 | Avg L -0.543 | Avg R 0.457
U 139 | F 139 | G 46 | D 0 | EPS 0.977 | L -25.000 | R 21.000 | Avg L -0.543 | Avg R 0.457
U 140 | F 140 | G 46 | D 0 | EPS 0.977 | L -25.000 | R 21.000 | Avg L -0.543 | Avg R 0.457
U 141 | F 141 | G 46 | D 0 | EPS 0.977 | L -25.000 | R 21.000 | Avg L -0.543 | Avg R 0.457
U 141 | F 141 | G 47 | D 0 | EPS 0.977 | L -26.000 | R 21.000 | Avg L -0.553 | Avg R 0.447
U 142 | F 142 | G 47 | D 0 | EPS 0.977 | L -26.000 | R 21.000 | Avg L -0.553 | Avg R 0.447
U 143 | F 143 | G 47 | D 0 | EPS 0.976 | L -26.000 | R 21.000 | Avg L -0.553 | Avg R 0.447
U 144 | F 144 | G 47 | D 0 | EPS 0.976 | L -26.000 | R 21.000 | Avg L -0.553 | Avg R 0.447
U 144 | F 144 | G 48 | D 0 | EPS 0.976 | L -27.000 | R 21.000 | Avg L -0.562 | Avg R 0.438
U 145 | F 145 | G 48 | D 0 | EPS 0.976 | L -27.000 | R 21.000 | Avg L -0.562 | Avg R 0.438
U 146 | F 146 | G 48 | D 0 | EPS 0.976 | L -27.000 | R 21.000 | Avg L -0.562 | Avg R 0.438
U 147 | F 147 | G 48 | D 0 | EPS 0.976 | L -27.000 | R 21.000 | Avg L -0.562 | Avg R 0.438
U 147 | F 147 | G 49 | D 0 | EPS 0.976 | L -27.000 | R 22.000 | Avg L -0.551 | Avg R 0.449
