main.py --seed 7 --gamma 1

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=1500000, eps_start=1.0, frames=3000000, games=500, gamma=1.0, log_interval=10000, lr=1e-06, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 1410000 | F 1410000 | G 94000 | D 175 | EPS 0.060 | L 257.005 | R 257.000 | Avg L 0.257 | Avg R 0.257
U 1420000 | F 1420000 | G 94666 | D 177 | EPS 0.053 | L 270.999 | R 271.000 | Avg L 0.271 | Avg R 0.271
U 1430000 | F 1430000 | G 95333 | D 178 | EPS 0.047 | L 315.998 | R 316.000 | Avg L 0.316 | Avg R 0.316
U 1440000 | F 1440000 | G 96000 | D 179 | EPS 0.040 | L 293.997 | R 294.000 | Avg L 0.294 | Avg R 0.294
U 1450000 | F 1450000 | G 96666 | D 180 | EPS 0.033 | L 311.997 | R 312.000 | Avg L 0.312 | Avg R 0.312
U 1460000 | F 1460000 | G 97333 | D 181 | EPS 0.027 | L 333.999 | R 334.000 | Avg L 0.334 | Avg R 0.334
U 1470000 | F 1470000 | G 98000 | D 183 | EPS 0.020 | L 338.999 | R 339.000 | Avg L 0.339 | Avg R 0.339
U 1480000 | F 1480000 | G 98666 | D 184 | EPS 0.013 | L 298.998 | R 299.000 | Avg L 0.299 | Avg R 0.299
U 1490000 | F 1490000 | G 99333 | D 185 | EPS 0.007 | L 282.000 | R 282.000 | Avg L 0.282 | Avg R 0.282
U 1500000 | F 1500000 | G 100000 | D 186 | EPS 0.001 | L 295.002 | R 295.000 | Avg L 0.295 | Avg R 0.295
U 1510000 | F 1510000 | G 100666 | D 188 | EPS 0.001 | L 291.000 | R 291.000 | Avg L 0.291 | Avg R 0.291
U 1520000 | F 1520000 | G 101333 | D 189 | EPS 0.001 | L 336.000 | R 336.000 | Avg L 0.336 | Avg R 0.336
U 1530000 | F 1530000 | G 102000 | D 190 | EPS 0.001 | L 365.001 | R 365.000 | Avg L 0.365 | Avg R 0.365
U 1540000 | F 1540000 | G 102666 | D 191 | EPS 0.001 | L 362.001 | R 362.000 | Avg L 0.362 | Avg R 0.362
U 1550000 | F 1550000 | G 103333 | D 192 | EPS 0.001 | L 378.001 | R 378.000 | Avg L 0.378 | Avg R 0.378
U 1560000 | F 1560000 | G 104000 | D 194 | EPS 0.001 | L 331.000 | R 331.000 | Avg L 0.331 | Avg R 0.331
U 1570000 | F 1570000 | G 104666 | D 195 | EPS 0.001 | L 303.999 | R 304.000 | Avg L 0.304 | Avg R 0.304
U 1580000 | F 1580000 | G 105333 | D 196 | EPS 0.001 | L 296.999 | R 297.000 | Avg L 0.297 | Avg R 0.297
U 1590000 | F 1590000 | G 106000 | D 197 | EPS 0.001 | L 321.000 | R 321.000 | Avg L 0.321 | Avg R 0.321
U 1600000 | F 1600000 | G 106666 | D 199 | EPS 0.001 | L 356.999 | R 357.000 | Avg L 0.357 | Avg R 0.357
U 1610000 | F 1610000 | G 107333 | D 200 | EPS 0.001 | L 375.999 | R 376.000 | Avg L 0.376 | Avg R 0.376
U 1620000 | F 1620000 | G 108000 | D 201 | EPS 0.001 | L 337.001 | R 337.000 | Avg L 0.337 | Avg R 0.337
U 1630000 | F 1630000 | G 108666 | D 202 | EPS 0.001 | L 319.000 | R 319.000 | Avg L 0.319 | Avg R 0.319
U 1640000 | F 1640000 | G 109333 | D 203 | EPS 0.001 | L 308.999 | R 309.000 | Avg L 0.309 | Avg R 0.309
U 1650000 | F 1650000 | G 110000 | D 205 | EPS 0.001 | L 275.999 | R 276.000 | Avg L 0.276 | Avg R 0.276
U 1660000 | F 1660000 | G 110666 | D 206 | EPS 0.001 | L 316.001 | R 316.000 | Avg L 0.316 | Avg R 0.316
U 1670000 | F 1670000 | G 111333 | D 207 | EPS 0.001 | L 337.999 | R 338.000 | Avg L 0.338 | Avg R 0.338
