update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
142,142,9,0,0.9686666666666667,4.1,4,0.028873239436619715,0.4444444444444444,4.1,4,0.0288732394366,0.444444444444
143,143,9,0,0.9684444444444444,4.1,4,0.02867132867132867,0.4444444444444444,4.1,4,0.0286713286713,0.444444444444
144,144,9,0,0.9682222222222222,4.1,4,0.028472222222222218,0.4444444444444444,4.1,4,0.0284722222222,0.444444444444
145,145,9,0,0.968,4.1,4,0.028275862068965516,0.4444444444444444,4.1,4,0.028275862069,0.444444444444
146,146,9,0,0.9677777777777777,4.1,4,0.028082191780821917,0.4444444444444444,4.1,4,0.0280821917808,0.444444444444
147,147,9,0,0.9675555555555555,4.1,4,0.027891156462585033,0.4444444444444444,4.1,4,0.0278911564626,0.444444444444
148,148,9,0,0.9673333333333334,4.1,4,0.0277027027027027,0.4444444444444444,4.1,4,0.0277027027027,0.444444444444
149,149,9,0,0.9671111111111111,4.1,4,0.02751677852348993,0.4444444444444444,4.1,4,0.0275167785235,0.444444444444
150,150,10,0,0.9668888888888889,5.2,5,0.034666666666666665,0.5,5.2,5,0.0346666666667,0.5
151,151,10,0,0.9666666666666667,5.2,5,0.03443708609271523,0.5,5.2,5,0.0344370860927,0.5
152,152,10,0,0.9664444444444444,5.1899999999999995,5,0.03414473684210526,0.5,5.19,5,0.0341447368421,0.5
153,153,10,0,0.9662222222222222,5.199999999999999,5,0.03398692810457516,0.5,5.2,5,0.0339869281046,0.5
154,154,10,0,0.966,5.18,5,0.03363636363636364,0.5,5.18,5,0.0336363636364,0.5
155,155,10,0,0.9657777777777777,5.282,5,0.03407741935483871,0.5,5.282,5,0.0340774193548,0.5
156,156,10,0,0.9655555555555555,5.1819999999999995,5,0.03321794871794871,0.5,5.182,5,0.0332179487179,0.5
157,157,10,0,0.9653333333333334,5.1819999999999995,5,0.033006369426751586,0.5,5.182,5,0.0330063694268,0.5
158,158,10,0,0.9651111111111111,5.1819999999999995,5,0.03279746835443038,0.5,5.182,5,0.0327974683544,0.5
159,159,10,0,0.9648888888888889,5.1819999999999995,5,0.03259119496855346,0.5,5.182,5,0.0325911949686,0.5
160,160,10,0,0.9646666666666667,5.182,5,0.0323875,0.5,5.182,5,0.0323875,0.5
161,161,10,0,0.9644444444444444,5.182,5,0.03218633540372671,0.5,5.182,5,0.0321863354037,0.5
162,162,10,0,0.9642222222222222,5.182,5,0.03198765432098766,0.5,5.182,5,0.031987654321,0.5
163,163,10,0,0.964,5.182,5,0.031791411042944785,0.5,5.182,5,0.0317914110429,0.5
164,164,10,0,0.9637777777777777,5.182,5,0.031597560975609756,0.5,5.182,5,0.0315975609756,0.5
165,165,11,0,0.9635555555555555,6.192,6,0.03752727272727273,0.5454545454545454,6.192,6,0.0375272727273,0.545454545455
166,166,11,0,0.9633333333333334,6.0920000000000005,6,0.036698795180722894,0.5454545454545454,6.092,6,0.0366987951807,0.545454545455
167,167,11,0,0.9631111111111111,6.0920000000000005,6,0.036479041916167666,0.5454545454545454,6.092,6,0.0364790419162,0.545454545455
168,168,11,0,0.9628888888888889,6.092,6,0.03626190476190476,0.5454545454545454,6.092,6,0.0362619047619,0.545454545455
