main.py --seed 7

Namespace(algo='q-learning', convg=1e-05, env='tokens-v0', eps_final=0.001, eps_frames=1500, eps_start=1.0, frames=30000, games=500, gamma=1.0, log_interval=1, lr=0.1, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 60 | F 60 | G 20 | D 0 | EPS 0.960 | LR 0.09400 | L -13.015 | R 7.000 | Avg L -0.651 | Avg R 0.350
U 61 | F 61 | G 20 | D 0 | EPS 0.960 | LR 0.09400 | L -13.015 | R 7.000 | Avg L -0.651 | Avg R 0.350
U 62 | F 62 | G 20 | D 0 | EPS 0.959 | LR 0.09390 | L -13.015 | R 7.000 | Avg L -0.651 | Avg R 0.350
U 63 | F 63 | G 20 | D 0 | EPS 0.959 | LR 0.09380 | L -13.015 | R 7.000 | Avg L -0.651 | Avg R 0.350
U 63 | F 63 | G 21 | D 0 | EPS 0.958 | LR 0.09370 | L -12.978 | R 8.000 | Avg L -0.618 | Avg R 0.381
U 64 | F 64 | G 21 | D 0 | EPS 0.958 | LR 0.09370 | L -12.978 | R 8.000 | Avg L -0.618 | Avg R 0.381
U 65 | F 65 | G 21 | D 0 | EPS 0.957 | LR 0.09360 | L -12.978 | R 8.000 | Avg L -0.618 | Avg R 0.381
U 66 | F 66 | G 21 | D 0 | EPS 0.957 | LR 0.09350 | L -12.978 | R 8.000 | Avg L -0.618 | Avg R 0.381
U 66 | F 66 | G 22 | D 0 | EPS 0.956 | LR 0.09340 | L -13.978 | R 8.000 | Avg L -0.635 | Avg R 0.364
U 67 | F 67 | G 22 | D 0 | EPS 0.956 | LR 0.09340 | L -13.978 | R 8.000 | Avg L -0.635 | Avg R 0.364
U 68 | F 68 | G 22 | D 0 | EPS 0.955 | LR 0.09330 | L -13.978 | R 8.000 | Avg L -0.635 | Avg R 0.364
U 69 | F 69 | G 22 | D 0 | EPS 0.955 | LR 0.09320 | L -13.978 | R 8.000 | Avg L -0.635 | Avg R 0.364
U 69 | F 69 | G 23 | D 0 | EPS 0.954 | LR 0.09310 | L -14.978 | R 8.000 | Avg L -0.651 | Avg R 0.348
U 70 | F 70 | G 23 | D 0 | EPS 0.954 | LR 0.09310 | L -14.978 | R 8.000 | Avg L -0.651 | Avg R 0.348
U 71 | F 71 | G 23 | D 0 | EPS 0.953 | LR 0.09300 | L -14.978 | R 8.000 | Avg L -0.651 | Avg R 0.348
U 72 | F 72 | G 23 | D 0 | EPS 0.953 | LR 0.09290 | L -14.978 | R 8.000 | Avg L -0.651 | Avg R 0.348
U 72 | F 72 | G 24 | D 0 | EPS 0.952 | LR 0.09280 | L -14.944 | R 9.000 | Avg L -0.623 | Avg R 0.375
U 73 | F 73 | G 24 | D 0 | EPS 0.952 | LR 0.09280 | L -14.944 | R 9.000 | Avg L -0.623 | Avg R 0.375
U 74 | F 74 | G 24 | D 0 | EPS 0.951 | LR 0.09270 | L -14.944 | R 9.000 | Avg L -0.623 | Avg R 0.375
U 75 | F 75 | G 24 | D 0 | EPS 0.951 | LR 0.09260 | L -14.944 | R 9.000 | Avg L -0.623 | Avg R 0.375
U 75 | F 75 | G 25 | D 0 | EPS 0.950 | LR 0.09250 | L -14.944 | R 10.000 | Avg L -0.598 | Avg R 0.400
U 76 | F 76 | G 25 | D 0 | EPS 0.950 | LR 0.09250 | L -14.944 | R 10.000 | Avg L -0.598 | Avg R 0.400
U 77 | F 77 | G 25 | D 0 | EPS 0.949 | LR 0.09240 | L -14.944 | R 10.000 | Avg L -0.598 | Avg R 0.400
U 78 | F 78 | G 25 | D 0 | EPS 0.949 | LR 0.09230 | L -14.944 | R 10.000 | Avg L -0.598 | Avg R 0.400
U 78 | F 78 | G 26 | D 0 | EPS 0.948 | LR 0.09220 | L -15.847 | R 10.000 | Avg L -0.610 | Avg R 0.385
U 79 | F 79 | G 26 | D 0 | EPS 0.948 | LR 0.09220 | L -15.847 | R 10.000 | Avg L -0.610 | Avg R 0.385
U 80 | F 80 | G 26 | D 0 | EPS 0.947 | LR 0.09210 | L -15.847 | R 10.000 | Avg L -0.610 | Avg R 0.385
U 81 | F 81 | G 26 | D 0 | EPS 0.947 | LR 0.09200 | L -15.847 | R 10.000 | Avg L -0.610 | Avg R 0.385
U 81 | F 81 | G 27 | D 0 | EPS 0.946 | LR 0.09190 | L -16.655 | R 10.000 | Avg L -0.617 | Avg R 0.370
U 82 | F 82 | G 27 | D 0 | EPS 0.946 | LR 0.09190 | L -16.655 | R 10.000 | Avg L -0.617 | Avg R 0.370
U 83 | F 83 | G 27 | D 0 | EPS 0.945 | LR 0.09180 | L -16.655 | R 10.000 | Avg L -0.617 | Avg R 0.370
U 84 | F 84 | G 27 | D 0 | EPS 0.945 | LR 0.09170 | L -16.655 | R 10.000 | Avg L -0.617 | Avg R 0.370
U 84 | F 84 | G 28 | D 0 | EPS 0.944 | LR 0.09160 | L -16.655 | R 11.000 | Avg L -0.595 | Avg R 0.393
U 85 | F 85 | G 28 | D 0 | EPS 0.944 | LR 0.09160 | L -16.655 | R 11.000 | Avg L -0.595 | Avg R 0.393
U 86 | F 86 | G 28 | D 0 | EPS 0.943 | LR 0.09150 | L -16.655 | R 11.000 | Avg L -0.595 | Avg R 0.393
U 87 | F 87 | G 28 | D 0 | EPS 0.943 | LR 0.09140 | L -16.655 | R 11.000 | Avg L -0.595 | Avg R 0.393
U 87 | F 87 | G 29 | D 0 | EPS 0.942 | LR 0.09130 | L -16.655 | R 12.000 | Avg L -0.574 | Avg R 0.414
U 88 | F 88 | G 29 | D 0 | EPS 0.942 | LR 0.09130 | L -16.655 | R 12.000 | Avg L -0.574 | Avg R 0.414
U 89 | F 89 | G 29 | D 0 | EPS 0.941 | LR 0.09120 | L -16.655 | R 12.000 | Avg L -0.574 | Avg R 0.414
U 90 | F 90 | G 29 | D 0 | EPS 0.941 | LR 0.09110 | L -16.655 | R 12.000 | Avg L -0.574 | Avg R 0.414
U 90 | F 90 | G 30 | D 0 | EPS 0.940 | LR 0.09100 | L -16.626 | R 13.000 | Avg L -0.554 | Avg R 0.433
U 91 | F 91 | G 30 | D 0 | EPS 0.940 | LR 0.09100 | L -16.626 | R 13.000 | Avg L -0.554 | Avg R 0.433
U 92 | F 92 | G 30 | D 0 | EPS 0.939 | LR 0.09090 | L -16.626 | R 13.000 | Avg L -0.554 | Avg R 0.433
U 93 | F 93 | G 30 | D 0 | EPS 0.939 | LR 0.09080 | L -16.626 | R 13.000 | Avg L -0.554 | Avg R 0.433
U 93 | F 93 | G 31 | D 0 | EPS 0.938 | LR 0.09070 | L -17.538 | R 13.000 | Avg L -0.566 | Avg R 0.419
U 94 | F 94 | G 31 | D 0 | EPS 0.938 | LR 0.09070 | L -17.538 | R 13.000 | Avg L -0.566 | Avg R 0.419
U 95 | F 95 | G 31 | D 0 | EPS 0.937 | LR 0.09060 | L -17.538 | R 13.000 | Avg L -0.566 | Avg R 0.419
U 96 | F 96 | G 31 | D 0 | EPS 0.937 | LR 0.09050 | L -17.538 | R 13.000 | Avg L -0.566 | Avg R 0.419
U 96 | F 96 | G 32 | D 0 | EPS 0.936 | LR 0.09040 | L -18.720 | R 13.000 | Avg L -0.585 | Avg R 0.406
U 97 | F 97 | G 32 | D 0 | EPS 0.936 | LR 0.09040 | L -18.720 | R 13.000 | Avg L -0.585 | Avg R 0.406
U 98 | F 98 | G 32 | D 0 | EPS 0.935 | LR 0.09030 | L -18.720 | R 13.000 | Avg L -0.585 | Avg R 0.406
U 99 | F 99 | G 32 | D 0 | EPS 0.935 | LR 0.09020 | L -18.720 | R 13.000 | Avg L -0.585 | Avg R 0.406
U 99 | F 99 | G 33 | D 0 | EPS 0.934 | LR 0.09010 | L -19.720 | R 13.000 | Avg L -0.598 | Avg R 0.394
U 100 | F 100 | G 33 | D 0 | EPS 0.934 | LR 0.09010 | L -19.720 | R 13.000 | Avg L -0.598 | Avg R 0.394
U 101 | F 101 | G 33 | D 0 | EPS 0.933 | LR 0.09000 | L -19.720 | R 13.000 | Avg L -0.598 | Avg R 0.394
U 102 | F 102 | G 33 | D 0 | EPS 0.933 | LR 0.08990 | L -19.720 | R 13.000 | Avg L -0.598 | Avg R 0.394
U 102 | F 102 | G 34 | D 0 | EPS 0.932 | LR 0.08980 | L -19.611 | R 14.000 | Avg L -0.577 | Avg R 0.412
U 103 | F 103 | G 34 | D 0 | EPS 0.932 | LR 0.08980 | L -19.611 | R 14.000 | Avg L -0.577 | Avg R 0.412
U 104 | F 104 | G 34 | D 0 | EPS 0.931 | LR 0.08970 | L -19.611 | R 14.000 | Avg L -0.577 | Avg R 0.412
U 105 | F 105 | G 34 | D 0 | EPS 0.931 | LR 0.08960 | L -19.611 | R 14.000 | Avg L -0.577 | Avg R 0.412
U 105 | F 105 | G 35 | D 0 | EPS 0.930 | LR 0.08950 | L -20.540 | R 14.000 | Avg L -0.587 | Avg R 0.400
U 106 | F 106 | G 35 | D 0 | EPS 0.930 | LR 0.08950 | L -20.540 | R 14.000 | Avg L -0.587 | Avg R 0.400
U 107 | F 107 | G 35 | D 0 | EPS 0.929 | LR 0.08940 | L -20.540 | R 14.000 | Avg L -0.587 | Avg R 0.400
U 108 | F 108 | G 35 | D 0 | EPS 0.929 | LR 0.08930 | L -20.540 | R 14.000 | Avg L -0.587 | Avg R 0.400
U 108 | F 108 | G 36 | D 0 | EPS 0.928 | LR 0.08920 | L -21.540 | R 14.000 | Avg L -0.598 | Avg R 0.389
U 109 | F 109 | G 36 | D 0 | EPS 0.928 | LR 0.08920 | L -21.540 | R 14.000 | Avg L -0.598 | Avg R 0.389
U 110 | F 110 | G 36 | D 0 | EPS 0.927 | LR 0.08910 | L -21.540 | R 14.000 | Avg L -0.598 | Avg R 0.389
U 111 | F 111 | G 36 | D 0 | EPS 0.927 | LR 0.08900 | L -21.540 | R 14.000 | Avg L -0.598 | Avg R 0.389
U 111 | F 111 | G 37 | D 0 | EPS 0.926 | LR 0.08890 | L -22.524 | R 14.000 | Avg L -0.609 | Avg R 0.378
U 112 | F 112 | G 37 | D 0 | EPS 0.926 | LR 0.08890 | L -22.524 | R 14.000 | Avg L -0.609 | Avg R 0.378
U 113 | F 113 | G 37 | D 0 | EPS 0.925 | LR 0.08880 | L -22.524 | R 14.000 | Avg L -0.609 | Avg R 0.378
