main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=3000, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 427 | F 427 | G 28 | D 0 | EPS 0.432
U 428 | F 428 | G 28 | D 0 | EPS 0.431
U 429 | F 429 | G 28 | D 0 | EPS 0.429
U 430 | F 430 | G 28 | D 0 | EPS 0.428
U 431 | F 431 | G 28 | D 0 | EPS 0.427
U 432 | F 432 | G 28 | D 0 | EPS 0.425
U 433 | F 433 | G 28 | D 0 | EPS 0.424
U 434 | F 434 | G 28 | D 0 | EPS 0.423
U 435 | F 435 | G 29 | D 0 | EPS 0.421
U 436 | F 436 | G 29 | D 0 | EPS 0.420
U 437 | F 437 | G 29 | D 0 | EPS 0.419
U 438 | F 438 | G 29 | D 0 | EPS 0.417
U 439 | F 439 | G 29 | D 0 | EPS 0.416
U 440 | F 440 | G 29 | D 0 | EPS 0.415
U 441 | F 441 | G 29 | D 0 | EPS 0.413
U 442 | F 442 | G 29 | D 0 | EPS 0.412
U 443 | F 443 | G 29 | D 0 | EPS 0.411
U 444 | F 444 | G 29 | D 0 | EPS 0.409
U 445 | F 445 | G 29 | D 0 | EPS 0.408
U 446 | F 446 | G 29 | D 0 | EPS 0.407
U 447 | F 447 | G 29 | D 0 | EPS 0.405
U 448 | F 448 | G 29 | D 0 | EPS 0.404
U 449 | F 449 | G 29 | D 0 | EPS 0.403
U 450 | F 450 | G 30 | D 0 | EPS 0.401
U 451 | F 451 | G 30 | D 0 | EPS 0.400
U 452 | F 452 | G 30 | D 0 | EPS 0.399
U 453 | F 453 | G 30 | D 0 | EPS 0.397
U 454 | F 454 | G 30 | D 0 | EPS 0.396
U 455 | F 455 | G 30 | D 0 | EPS 0.395
U 456 | F 456 | G 30 | D 0 | EPS 0.393
U 457 | F 457 | G 30 | D 0 | EPS 0.392
U 458 | F 458 | G 30 | D 0 | EPS 0.391
